Name,"On Hand",Available,Reserved,SKU,Bin,Warehouse,Backorder,"Sell Ahead","On Order","Pending Return"
"Playful | Synthetic Hair Wrap 4H27",6,6,0,JR672A_30,"JON RENAU | EASIHAIR","Beauty & Hair / Primary",0,0,0,0
"Fun Bun | Synthetic Hair Wrap 14/24",6,6,0,JR676A_08,"JON RENAU | EASIHAIR","Beauty & Hair / Primary",0,0,0,0
"Jon Renau Ladies Synthetic Color Ring Synthetic",6,6,0,JRCRL_01,"JON RENAU | EASIHAIR","Beauty & Hair / Primary",0,0,0,0
"Evolution Customizing Kit ",6,6,0,JREVKIT_01,"JON RENAU | EASIHAIR","Beauty & Hair / Primary",0,0,0,0
"Heat Treat Thermal Spray 8.5oz",6,5,0,JRHTTS,"JON RENAU | EASIHAIR","Beauty & Hair / Primary",0,0,49,0
"Chic Doll | Synthetic Wig (Basic Cap) ORANGE",5,5,0,JR114_05,"JON RENAU | EASIHAIR","Beauty & Hair / Primary",0,0,0,0
"18"" easiVolume Remy Human Hair Extension (1 Piece) | Clip In 10H24B",5,4,0,JR330_01,"JON RENAU | EASIHAIR","Beauty & Hair / Primary",0,0,0,0
"easiPart HD 12"" | Synthetic Hair Topper (Mono Part) 1B",5,5,0,JR356_08,"JON RENAU | EASIHAIR","Beauty & Hair / Primary",0,0,0,0
"Hat Magic LF | Synthetic Hair Addition (Hat not included) 16/22",5,5,0,JR384A_06,"JON RENAU | EASIHAIR","Beauty & Hair / Primary",0,0,0,0
"Top Notch | Synthetic Hair Topper (Double Mono Top) 1B",5,5,0,JR5970_11,"JON RENAU | EASIHAIR","Beauty & Hair / Primary",0,0,0,0
"Scarlett Large | Synthetic Lace Front Wig (Basic Cap) 22F16",5,5,0,JR5986_08,"JON RENAU | EASIHAIR","Beauty & Hair / Primary",0,0,0,0
"Scarlett Large | Synthetic Lace Front Wig (Basic Cap) 24BT18S8",5,5,0,JR5986_11,"JON RENAU | EASIHAIR","Beauty & Hair / Primary",0,0,0,0
"Scarlett Large | Synthetic Lace Front Wig (Basic Cap) 8/32",5,5,0,JR5986_23,"JON RENAU | EASIHAIR","Beauty & Hair / Primary",0,0,0,0
"Top Style 18"" | Synthetic Hair Topper (Mono Top) 6/33",5,5,0,JR5989_19,"JON RENAU | EASIHAIR","Beauty & Hair / Primary",0,0,0,0
"Top Style 12"" | Synthetic Hair Topper (Mono Top) 10H16",5,5,0,JR5991_09,"JON RENAU | EASIHAIR","Beauty & Hair / Primary",0,0,0,0
"Top Wave 12"" | Synthetic Hair Topper (Full Mono) 14/26S10",5,5,0,JR5992_08,"JON RENAU | EASIHAIR","Beauty & Hair / Primary",0,0,0,0
"Top Wave 12"" | Synthetic Hair Topper (Full Mono) 24B18",5,5,0,JR5992_15,"JON RENAU | EASIHAIR","Beauty & Hair / Primary",0,0,0,0
"Top Wave 18"" | Synthetic Hair Topper (Full Mono) 24B18S8",5,4,0,JR5993_15,"JON RENAU | EASIHAIR","Beauty & Hair / Primary",0,0,0,0
"Playful | Synthetic Hair Wrap 4",5,5,0,JR672A_26,"JON RENAU | EASIHAIR","Beauty & Hair / Primary",0,0,0,0
